version,id,userid,queryname,text,mp3Link,answertime
gameVer,291,A2RDAJ32TF20LF,Best movies right now,ケニケニのウイルス Perfume,file:///Users/cathy/Projects/website1/voice/gameVer+Best movies right now+A2RDAJ32TF20LF+1.mp3,1
gameVer,334,A15YYU3A3SW1T9,Best movies right now,can you give me a list of the best movies out right now,file:///Users/cathy/Projects/website1/voice/gameVer+Best movies right now+A15YYU3A3SW1T9+0.mp3,0
gameVer,340,A15YYU3A3SW1T9,Best movies right now,can you queue up the best movies for me right now,file:///Users/cathy/Projects/website1/voice/gameVer+Best movies right now+A15YYU3A3SW1T9+2.mp3,2
gameVer,351,AJB8Q0859LFAC,Best movies right now,just give me the best movie right now,file:///Users/cathy/Projects/website1/voice/gameVer+Best movies right now+AJB8Q0859LFAC+2.mp3,2
gameVer,287,A96JK3576FXG5,Best movies right now,AJ Lee wedding movies like,file:///Users/cathy/Projects/website1/voice/gameVer+Best movies right now+A96JK3576FXG5+1.mp3,1
gameVer,293,A2RDAJ32TF20LF,Best movies right now,気に塩水着信音,file:///Users/cathy/Projects/website1/voice/gameVer+Best movies right now+A2RDAJ32TF20LF+2.mp3,2
gameVer,336,A15YYU3A3SW1T9,Best movies right now,what are the top 10 movies right now,file:///Users/cathy/Projects/website1/voice/gameVer+Best movies right now+A15YYU3A3SW1T9+1.mp3,1
gameVer,349,AJB8Q0859LFAC,Best movies right now,what's the best movie to watch,file:///Users/cathy/Projects/website1/voice/gameVer+Best movies right now+AJB8Q0859LFAC+0.mp3,0
gameVer,350,AJB8Q0859LFAC,Best movies right now,can you show me the best movie,file:///Users/cathy/Projects/website1/voice/gameVer+Best movies right now+AJB8Q0859LFAC+1.mp3,1
gameVer,406,A30J4IZCMCR31F,Best movies right now,what are the best movies right now,file:///Users/cathy/Projects/website1/voice/gameVer+Best movies right now+A30J4IZCMCR31F+0.mp3,0
gameVer,408,A30J4IZCMCR31F,Best movies right now,everyone wants to watch these movies show me something that I can talk about,file:///Users/cathy/Projects/website1/voice/gameVer+Best movies right now+A30J4IZCMCR31F+2.mp3,2
gameVer,449,A37EV8RZ82WT8E,Best movies right now,what is the greatest selling movies right now,file:///Users/cathy/Projects/website1/voice/gameVer+Best movies right now+A37EV8RZ82WT8E+0.mp3,0
gameVer,451,A37EV8RZ82WT8E,Best movies right now,what are the really really ocular shows,file:///Users/cathy/Projects/website1/voice/gameVer+Best movies right now+A37EV8RZ82WT8E+2.mp3,2
gameVer,407,A30J4IZCMCR31F,Best movies right now,I want to see all the popular best movies right now,file:///Users/cathy/Projects/website1/voice/gameVer+Best movies right now+A30J4IZCMCR31F+1.mp3,1
gameVer,450,A37EV8RZ82WT8E,Best movies right now,show me the most popular options,file:///Users/cathy/Projects/website1/voice/gameVer+Best movies right now+A37EV8RZ82WT8E+1.mp3,1
gameVer,491,AKHH4W14A6AN9,Best movies right now,what are the top movies right now,file:///Users/cathy/Projects/website1/voice/gameVer+Best movies right now+AKHH4W14A6AN9+0.mp3,0
gameVer,493,AKHH4W14A6AN9,Best movies right now,show me the highest rated movies right now,file:///Users/cathy/Projects/website1/voice/gameVer+Best movies right now+AKHH4W14A6AN9+1.mp3,1
gameVer,494,AKHH4W14A6AN9,Best movies right now,show me the current best movies,file:///Users/cathy/Projects/website1/voice/gameVer+Best movies right now+AKHH4W14A6AN9+2.mp3,2
gameVer,501,A1KA64FR47O9FS,Best movies right now,the best movies currently,file:///Users/cathy/Projects/website1/voice/gameVer+Best movies right now+A1KA64FR47O9FS+1.mp3,1
gameVer,500,A1KA64FR47O9FS,Best movies right now,the current top movies,file:///Users/cathy/Projects/website1/voice/gameVer+Best movies right now+A1KA64FR47O9FS+0.mp3,0
gameVer,502,A1KA64FR47O9FS,Best movies right now,the top movies out right now,file:///Users/cathy/Projects/website1/voice/gameVer+Best movies right now+A1KA64FR47O9FS+2.mp3,2
easyVer,54,A2B6WQG0A9CKXQ,Brad Pitt,yeah I'd like that one movie with Brad Pitt,file:///Users/cathy/Projects/website1/voice/easyVer+Brad Pitt+A2B6WQG0A9CKXQ.mp3,
easyVer,61,A31X9CV1UWZV8Z,Brad Pitt,I'm looking for a movie starring Brad Pitt,file:///Users/cathy/Projects/website1/voice/easyVer+Brad Pitt+A31X9CV1UWZV8Z.mp3,
easyVer,78,AFU00NU09CFXE,Brad Pitt,what can you recommend that has Brad Pitt in it,file:///Users/cathy/Projects/website1/voice/easyVer+Brad Pitt+AFU00NU09CFXE.mp3,
easyVer,102,A3UQM89QJ1V6M4,Brad Pitt,find movie with Brad Pitt in,file:///Users/cathy/Projects/website1/voice/easyVer+Brad Pitt+A3UQM89QJ1V6M4.mp3,
easyVer,93,A18V2X9VHAVWE7,Brad Pitt,Target,file:///Users/cathy/Projects/website1/voice/easyVer+Brad Pitt+A18V2X9VHAVWE7.mp3,
easyVer,115,AR8O1107OAW4V,Brad Pitt,show me films with Brad Pitt,file:///Users/cathy/Projects/website1/voice/easyVer+Brad Pitt+AR8O1107OAW4V.mp3,
easyVer,127,ACIZKR30ALBE5,Brad Pitt,Alexa can you find films with Brad Pitt starring in them,file:///Users/cathy/Projects/website1/voice/easyVer+Brad Pitt+ACIZKR30ALBE5.mp3,
easyVer,135,A3IYDY7TO808Z3,Brad Pitt,can you show me movies that have Brad Pitt in them,file:///Users/cathy/Projects/website1/voice/easyVer+Brad Pitt+A3IYDY7TO808Z3.mp3,
easyVer,151,A2KI7W45F6HRVY,Brad Pitt,I'm looking for a Brad Pitt movie,file:///Users/cathy/Projects/website1/voice/easyVer+Brad Pitt+A2KI7W45F6HRVY.mp3,
easyVer,171,A2E8RRV64NGTW4,Brad Pitt,I want to find a movie starring Brad Pitt,file:///Users/cathy/Projects/website1/voice/easyVer+Brad Pitt+A2E8RRV64NGTW4.mp3,
easyVer,164,A23FMTVKQEYCMW,Brad Pitt,I would like to watch a comedy,file:///Users/cathy/Projects/website1/voice/easyVer+Brad Pitt+A23FMTVKQEYCMW.mp3,
gameVer,207,A8CCJBJC0HPSA,Can you find me a funny romantic movie made in the 2000s,display romantic funny movies made in the 2000s,file:///Users/cathy/Projects/website1/voice/gameVer+Can you find me a funny romantic movie made in the 2000s+A8CCJBJC0HPSA+1.mp3,1
gameVer,217,A76YXASD7CTAH,Can you find me a funny romantic movie made in the 2000s,what are some of the best known romantic comedies from the 2000s,file:///Users/cathy/Projects/website1/voice/gameVer+Can you find me a funny romantic movie made in the 2000s+A76YXASD7CTAH+1.mp3,1
gameVer,219,A76YXASD7CTAH,Can you find me a funny romantic movie made in the 2000s,I'm looking for a romantic comedy but not too recent maybe in the 2000s,file:///Users/cathy/Projects/website1/voice/gameVer+Can you find me a funny romantic movie made in the 2000s+A76YXASD7CTAH+2.mp3,2
gameVer,205,A8CCJBJC0HPSA,Can you find me a funny romantic movie made in the 2000s,present to me a funny romantic movie made in the 2000s,file:///Users/cathy/Projects/website1/voice/gameVer+Can you find me a funny romantic movie made in the 2000s+A8CCJBJC0HPSA+0.mp3,0
gameVer,209,A8CCJBJC0HPSA,Can you find me a funny romantic movie made in the 2000s,present me movies in the 2000s that are funny and romantic,file:///Users/cathy/Projects/website1/voice/gameVer+Can you find me a funny romantic movie made in the 2000s+A8CCJBJC0HPSA+2.mp3,2
gameVer,216,A76YXASD7CTAH,Can you find me a funny romantic movie made in the 2000s,I'm looking for a romantic comedy that's about 10 to 15 years old,file:///Users/cathy/Projects/website1/voice/gameVer+Can you find me a funny romantic movie made in the 2000s+A76YXASD7CTAH+0.mp3,0
gameVer,272,A96JK3576FXG5,Can you find me a funny romantic movie made in the 2000s,can you help me find a romantic movie,file:///Users/cathy/Projects/website1/voice/gameVer+Can you find me a funny romantic movie made in the 2000s+A96JK3576FXG5+1.mp3,1
gameVer,274,A96JK3576FXG5,Can you find me a funny romantic movie made in the 2000s,can you help me to find animation Blockbuster movie 2018,file:///Users/cathy/Projects/website1/voice/gameVer+Can you find me a funny romantic movie made in the 2000s+A96JK3576FXG5+2.mp3,2
gameVer,282,A2RDAJ32TF20LF,Can you find me a funny romantic movie made in the 2000s,写メムービーすみれのチーターズ,file:///Users/cathy/Projects/website1/voice/gameVer+Can you find me a funny romantic movie made in the 2000s+A2RDAJ32TF20LF+0.mp3,0
gameVer,285,A2RDAJ32TF20LF,Can you find me a funny romantic movie made in the 2000s,ペニスを見て+2 XX,file:///Users/cathy/Projects/website1/voice/gameVer+Can you find me a funny romantic movie made in the 2000s+A2RDAJ32TF20LF+2.mp3,2
gameVer,347,AJB8Q0859LFAC,Can you find me a funny romantic movie made in the 2000s,I would like to see a funny movie made in the 2000s,file:///Users/cathy/Projects/website1/voice/gameVer+Can you find me a funny romantic movie made in the 2000s+AJB8Q0859LFAC+1.mp3,1
gameVer,348,AJB8Q0859LFAC,Can you find me a funny romantic movie made in the 2000s,what are some funny romantic movies made in the 2000s,file:///Users/cathy/Projects/website1/voice/gameVer+Can you find me a funny romantic movie made in the 2000s+AJB8Q0859LFAC+2.mp3,2
gameVer,270,A96JK3576FXG5,Can you find me a funny romantic movie made in the 2000s,can you help me to find the action movie in 2018,file:///Users/cathy/Projects/website1/voice/gameVer+Can you find me a funny romantic movie made in the 2000s+A96JK3576FXG5+0.mp3,0
gameVer,283,A2RDAJ32TF20LF,Can you find me a funny romantic movie made in the 2000s,あまちゃんをいじめてたのはダメ,file:///Users/cathy/Projects/website1/voice/gameVer+Can you find me a funny romantic movie made in the 2000s+A2RDAJ32TF20LF+1.mp3,1
gameVer,326,A15YYU3A3SW1T9,Can you find me a funny romantic movie made in the 2000s,what's a real funny romantic movie made in the 2000s,file:///Users/cathy/Projects/website1/voice/gameVer+Can you find me a funny romantic movie made in the 2000s+A15YYU3A3SW1T9+0.mp3,0
gameVer,328,A15YYU3A3SW1T9,Can you find me a funny romantic movie made in the 2000s,in the year 2002 was there any funny romantic movies made,file:///Users/cathy/Projects/website1/voice/gameVer+Can you find me a funny romantic movie made in the 2000s+A15YYU3A3SW1T9+1.mp3,1
gameVer,330,A15YYU3A3SW1T9,Can you find me a funny romantic movie made in the 2000s,can you give me a list of funny romantic movies made in the 2000s,file:///Users/cathy/Projects/website1/voice/gameVer+Can you find me a funny romantic movie made in the 2000s+A15YYU3A3SW1T9+2.mp3,2
gameVer,346,AJB8Q0859LFAC,Can you find me a funny romantic movie made in the 2000s,I want to watch a funny romantic movie made in the 2000s,file:///Users/cathy/Projects/website1/voice/gameVer+Can you find me a funny romantic movie made in the 2000s+AJB8Q0859LFAC+0.mp3,0
gameVer,403,A30J4IZCMCR31F,Can you find me a funny romantic movie made in the 2000s,find funny romantic movies that were made into the 2000 and really like to watch one,file:///Users/cathy/Projects/website1/voice/gameVer+Can you find me a funny romantic movie made in the 2000s+A30J4IZCMCR31F+0.mp3,0
gameVer,445,A37EV8RZ82WT8E,Can you find me a funny romantic movie made in the 2000s,looking for some romantic movies from the 2000s era,file:///Users/cathy/Projects/website1/voice/gameVer+Can you find me a funny romantic movie made in the 2000s+A37EV8RZ82WT8E+0.mp3,0
gameVer,446,A37EV8RZ82WT8E,Can you find me a funny romantic movie made in the 2000s,I need something with some humor some romance and preferably made in the 2000s,file:///Users/cathy/Projects/website1/voice/gameVer+Can you find me a funny romantic movie made in the 2000s+A37EV8RZ82WT8E+1.mp3,1
gameVer,447,A37EV8RZ82WT8E,Can you find me a funny romantic movie made in the 2000s,yeah I need a movie from the 2004 Furby with some romance and some comedy,file:///Users/cathy/Projects/website1/voice/gameVer+Can you find me a funny romantic movie made in the 2000s+A37EV8RZ82WT8E+2.mp3,2
gameVer,404,A30J4IZCMCR31F,Can you find me a funny romantic movie made in the 2000s,what funny romantic comedies were made in the 2000s,file:///Users/cathy/Projects/website1/voice/gameVer+Can you find me a funny romantic movie made in the 2000s+A30J4IZCMCR31F+1.mp3,1
gameVer,405,A30J4IZCMCR31F,Can you find me a funny romantic movie made in the 2000s,view all movies made in the 2000s that are funny and romantic,file:///Users/cathy/Projects/website1/voice/gameVer+Can you find me a funny romantic movie made in the 2000s+A30J4IZCMCR31F+2.mp3,2
gameVer,487,AKHH4W14A6AN9,Can you find me a funny romantic movie made in the 2000s,I'm looking for a romantic comedy made in the 2000,file:///Users/cathy/Projects/website1/voice/gameVer+Can you find me a funny romantic movie made in the 2000s+AKHH4W14A6AN9+0.mp3,0
gameVer,490,AKHH4W14A6AN9,Can you find me a funny romantic movie made in the 2000s,I'd like a romantic comedy from the 2000,file:///Users/cathy/Projects/website1/voice/gameVer+Can you find me a funny romantic movie made in the 2000s+AKHH4W14A6AN9+2.mp3,2
gameVer,495,A1KA64FR47O9FS,Can you find me a funny romantic movie made in the 2000s,can I see some funny love stories movies that are from the 2000,file:///Users/cathy/Projects/website1/voice/gameVer+Can you find me a funny romantic movie made in the 2000s+A1KA64FR47O9FS+1.mp3,1
gameVer,499,A1KA64FR47O9FS,Can you find me a funny romantic movie made in the 2000s,show me some post 2000 romantic comedies,file:///Users/cathy/Projects/website1/voice/gameVer+Can you find me a funny romantic movie made in the 2000s+A1KA64FR47O9FS+2.mp3,2
gameVer,489,AKHH4W14A6AN9,Can you find me a funny romantic movie made in the 2000s,I'm looking for a funny romantic movie that was produced in the 2000,file:///Users/cathy/Projects/website1/voice/gameVer+Can you find me a funny romantic movie made in the 2000s+AKHH4W14A6AN9+1.mp3,1
gameVer,492,A1KA64FR47O9FS,Can you find me a funny romantic movie made in the 2000s,movies made after 2000 that are funny and romantic,file:///Users/cathy/Projects/website1/voice/gameVer+Can you find me a funny romantic movie made in the 2000s+A1KA64FR47O9FS+0.mp3,0
gameVer,167,A8CCJBJC0HPSA,Can you recommend some movies for Friday night,what movies are available on Friday night,file:///Users/cathy/Projects/website1/voice/gameVer+Can you recommend some movies for Friday night+A8CCJBJC0HPSA+0.mp3,0
gameVer,168,A8CCJBJC0HPSA,Can you recommend some movies for Friday night,what are movies showing on Friday night,file:///Users/cathy/Projects/website1/voice/gameVer+Can you recommend some movies for Friday night+A8CCJBJC0HPSA+1.mp3,1
gameVer,169,AEQ95NMC3VXQ5,Can you recommend some movies for Friday night,what movies should I see on Friday night what movies would you recommend that I see for Friday night can you tell me what good movies are playing on Friday that I would like to see,file:///Users/cathy/Projects/website1/voice/gameVer+Can you recommend some movies for Friday night+AEQ95NMC3VXQ5+0.mp3,0
gameVer,170,A8CCJBJC0HPSA,Can you recommend some movies for Friday night,what are movie suggestions for Friday night,file:///Users/cathy/Projects/website1/voice/gameVer+Can you recommend some movies for Friday night+A8CCJBJC0HPSA+2.mp3,2
gameVer,174,A76YXASD7CTAH,Can you recommend some movies for Friday night,I'm looking for some movies for Jim and me to watch tonight,file:///Users/cathy/Projects/website1/voice/gameVer+Can you recommend some movies for Friday night+A76YXASD7CTAH+0.mp3,0
gameVer,175,A76YXASD7CTAH,Can you recommend some movies for Friday night,can you suggest a romantic comedy for us to watch,file:///Users/cathy/Projects/website1/voice/gameVer+Can you recommend some movies for Friday night+A76YXASD7CTAH+1.mp3,1
gameVer,178,A76YXASD7CTAH,Can you recommend some movies for Friday night,what are some new movie releases available for us to watch tonight,file:///Users/cathy/Projects/website1/voice/gameVer+Can you recommend some movies for Friday night+A76YXASD7CTAH+2.mp3,2
gameVer,230,ACAJFF4MF5S5X,Can you recommend some movies for Friday night,tell me what movie to see,file:///Users/cathy/Projects/website1/voice/gameVer+Can you recommend some movies for Friday night+ACAJFF4MF5S5X+0.mp3,0
gameVer,231,ACAJFF4MF5S5X,Can you recommend some movies for Friday night,I want to see a movie on Friday what's showing,file:///Users/cathy/Projects/website1/voice/gameVer+Can you recommend some movies for Friday night+ACAJFF4MF5S5X+1.mp3,1
gameVer,232,ACAJFF4MF5S5X,Can you recommend some movies for Friday night,I want to go to the movies what's a good movie,file:///Users/cathy/Projects/website1/voice/gameVer+Can you recommend some movies for Friday night+ACAJFF4MF5S5X+2.mp3,2
gameVer,277,A15YYU3A3SW1T9,Can you recommend some movies for Friday night,what's good to see at the movies on Friday,file:///Users/cathy/Projects/website1/voice/gameVer+Can you recommend some movies for Friday night+A15YYU3A3SW1T9+0.mp3,0
gameVer,279,A15YYU3A3SW1T9,Can you recommend some movies for Friday night,I'm going to the movies on Friday what should I see,file:///Users/cathy/Projects/website1/voice/gameVer+Can you recommend some movies for Friday night+A15YYU3A3SW1T9+1.mp3,1
gameVer,281,A15YYU3A3SW1T9,Can you recommend some movies for Friday night,what's playing at the movies on Friday,file:///Users/cathy/Projects/website1/voice/gameVer+Can you recommend some movies for Friday night+A15YYU3A3SW1T9+2.mp3,2
gameVer,355,A30J4IZCMCR31F,Can you recommend some movies for Friday night,it's Friday can you help me find some movies to watch tonight,file:///Users/cathy/Projects/website1/voice/gameVer+Can you recommend some movies for Friday night+A30J4IZCMCR31F+1.mp3,1
gameVer,356,A30J4IZCMCR31F,Can you recommend some movies for Friday night,what kind of movies do you think I should watch tonight,file:///Users/cathy/Projects/website1/voice/gameVer+Can you recommend some movies for Friday night+A30J4IZCMCR31F+2.mp3,2
gameVer,410,A1KA64FR47O9FS,Can you recommend some movies for Friday night,what are some movies that are coming out this weekend,file:///Users/cathy/Projects/website1/voice/gameVer+Can you recommend some movies for Friday night+A1KA64FR47O9FS+0.mp3,0
gameVer,417,A1KA64FR47O9FS,Can you recommend some movies for Friday night,is there any good films I could see on Friday,file:///Users/cathy/Projects/website1/voice/gameVer+Can you recommend some movies for Friday night+A1KA64FR47O9FS+2.mp3,2
gameVer,422,A37EV8RZ82WT8E,Can you recommend some movies for Friday night,what would be some good shows to watch this weekend,file:///Users/cathy/Projects/website1/voice/gameVer+Can you recommend some movies for Friday night+A37EV8RZ82WT8E+0.mp3,0
gameVer,413,A1KA64FR47O9FS,Can you recommend some movies for Friday night,are there any movies coming out this,file:///Users/cathy/Projects/website1/voice/gameVer+Can you recommend some movies for Friday night+A1KA64FR47O9FS+1.mp3,1
gameVer,415,A1KA64FR47O9FS,Can you recommend some movies for Friday night,what are some movies coming out this Friday,file:///Users/cathy/Projects/website1/voice/gameVer+Can you recommend some movies for Friday night+A1KA64FR47O9FS+0.mp3,0
gameVer,416,A1KA64FR47O9FS,Can you recommend some movies for Friday night,do you recommend any movies coming out this weekend,file:///Users/cathy/Projects/website1/voice/gameVer+Can you recommend some movies for Friday night+A1KA64FR47O9FS+1.mp3,1
gameVer,423,A37EV8RZ82WT8E,Can you recommend some movies for Friday night,can you suggest anything entertaining for this Friday,file:///Users/cathy/Projects/website1/voice/gameVer+Can you recommend some movies for Friday night+A37EV8RZ82WT8E+1.mp3,1
gameVer,425,A37EV8RZ82WT8E,Can you recommend some movies for Friday night,I don't have to work the next day so I'm looking for something that's scary and will keep me up all night,file:///Users/cathy/Projects/website1/voice/gameVer+Can you recommend some movies for Friday night+A37EV8RZ82WT8E+2.mp3,2
easyVer,53,A2B6WQG0A9CKXQ,comedy,I'd like a comedy movie,file:///Users/cathy/Projects/website1/voice/easyVer+comedy+A2B6WQG0A9CKXQ.mp3,
easyVer,58,A31X9CV1UWZV8Z,comedy,I am looking for a comedy,file:///Users/cathy/Projects/website1/voice/easyVer+comedy+A31X9CV1UWZV8Z.mp3,
easyVer,64,A21SIPO89DP66I,comedy,I'm looking to see if there's any new funny movies out hello,file:///Users/cathy/Projects/website1/voice/easyVer+comedy+A21SIPO89DP66I.mp3,
easyVer,91,A18V2X9VHAVWE7,comedy,,file:///Users/cathy/Projects/website1/voice/easyVer+comedy+A18V2X9VHAVWE7.mp3,
easyVer,92,A18V2X9VHAVWE7,comedy,comedy movies,file:///Users/cathy/Projects/website1/voice/easyVer+comedy+A18V2X9VHAVWE7.mp3,
easyVer,101,A3UQM89QJ1V6M4,comedy,find a comedy,file:///Users/cathy/Projects/website1/voice/easyVer+comedy+A3UQM89QJ1V6M4.mp3,
