version,id,userid,category,queryname,text,mp3Link,timestamp
easyVer,294,A2C7TMRC2QHTIW,deep feature 2,exciting plot,can you recommend a good movie with a good storyline,file:///Users/cathy/Projects/website1/results/voice3/easyVer+exciting plot+A2C7TMRC2QHTIW.mp3,10/18/18 19:30
easyVer,296,A2C7TMRC2QHTIW,name,The Hunger Games,can I watch Catching Fire,file:///Users/cathy/Projects/website1/results/voice3/easyVer+The Hunger Games+A2C7TMRC2QHTIW.mp3,10/18/18 19:31
easyVer,299,A5NE8TWS8ZV7B,actor,Brad Pitt,I went to see something or Brad Pitt in it it can be at any time I've already watched like me to go back and Interview with a Vampire maybe something else,file:///Users/cathy/Projects/website1/results/voice3/easyVer+Brad Pitt+A5NE8TWS8ZV7B.mp3,10/18/18 19:31
easyVer,300,A2C7TMRC2QHTIW,movie based,like Titanic,can you recommend a movie like Titanic,file:///Users/cathy/Projects/website1/results/voice3/easyVer+like Titanic+A2C7TMRC2QHTIW.mp3,10/18/18 19:31
easyVer,302,A5NE8TWS8ZV7B,movie based,similar to Titanic,I really want when I want something that's really well done has a nice story and can get you really absorb kind of similar to Titanic,file:///Users/cathy/Projects/website1/results/voice3/easyVer+similar to Titanic+A5NE8TWS8ZV7B.mp3,10/18/18 19:31
easyVer,305,A5NE8TWS8ZV7B,combination,horror  gt2010,I like to see a horror movie that doesn't have Gourmet be made after 2010 I don't want to say anything other than that,file:///Users/cathy/Projects/website1/results/voice3/easyVer+horror  gt2010+A5NE8TWS8ZV7B.mp3,10/18/18 19:32
easyVer,307,A5NE8TWS8ZV7B,combination,animation  Japan,I'm in the mood for a Japanese animation what about that,file:///Users/cathy/Projects/website1/results/voice3/easyVer+animation  Japan+A5NE8TWS8ZV7B.mp3,10/18/18 19:32
easyVer,308,A5NE8TWS8ZV7B,combination,romantic  funny,I think me and my friends would like to see a real life romantic comedy,file:///Users/cathy/Projects/website1/results/voice3/easyVer+romantic  funny+A5NE8TWS8ZV7B.mp3,10/18/18 19:32
easyVer,309,A5NE8TWS8ZV7B,context,Friday night,why we're going to be watching this on Friday night so what about a movie about Friday night,file:///Users/cathy/Projects/website1/results/voice3/easyVer+Friday night+A5NE8TWS8ZV7B.mp3,10/18/18 19:32
easyVer,310,AAQREZOK13OV7,Open question,movieopen Question 1,please give me a movie within the last 5 years that is a Sci-Fi in a horror movie,file:///Users/cathy/Projects/website1/results/voice3/easyVer+movieopen Question 1+AAQREZOK13OV7.mp3,10/18/18 19:33
easyVer,313,AAQREZOK13OV7,genre,comedy,I'd like to watch funny comedy movie,file:///Users/cathy/Projects/website1/results/voice3/easyVer+comedy+AAQREZOK13OV7.mp3,10/18/18 19:34
easyVer,316,AAQREZOK13OV7,time,lt2000,show me the highest rated movies from before the year 2000,file:///Users/cathy/Projects/website1/results/voice3/easyVer+lt2000+AAQREZOK13OV7.mp3,10/18/18 19:35
easyVer,318,AAQREZOK13OV7,deep feature 1,explosions,show me a movie noun for lots of explosions and entertainment,file:///Users/cathy/Projects/website1/results/voice3/easyVer+explosions+AAQREZOK13OV7.mp3,10/18/18 19:36
easyVer,319,AAQREZOK13OV7,deep feature 2,exciting plot,show me the top rated movies with an exciting plot,file:///Users/cathy/Projects/website1/results/voice3/easyVer+exciting plot+AAQREZOK13OV7.mp3,10/18/18 19:36
easyVer,320,AAQREZOK13OV7,name,When Harry Met Sally...,let me see the movie When Harry Met Sally,file:///Users/cathy/Projects/website1/results/voice3/easyVer+When Harry Met Sally...+AAQREZOK13OV7.mp3,10/18/18 19:36
easyVer,321,AAQREZOK13OV7,quality,popular,show me the most popular movies from this month,file:///Users/cathy/Projects/website1/results/voice3/easyVer+popular+AAQREZOK13OV7.mp3,10/18/18 19:36
easyVer,324,AAQREZOK13OV7,combination,horror  gt2010,I like to see a horror movie that was after 2010,file:///Users/cathy/Projects/website1/results/voice3/easyVer+horror  gt2010+AAQREZOK13OV7.mp3,10/18/18 19:37
easyVer,325,AAQREZOK13OV7,combination,animation  Japan,show me popular animation movies from Japan,file:///Users/cathy/Projects/website1/results/voice3/easyVer+animation  Japan+AAQREZOK13OV7.mp3,10/18/18 19:37
easyVer,326,AAQREZOK13OV7,combination,funny  romantic,show me any recent rom-coms that have been added,file:///Users/cathy/Projects/website1/results/voice3/easyVer+funny  romantic+AAQREZOK13OV7.mp3,10/18/18 19:37
easyVer,274,A5NE8TWS8ZV7B,Open question,movieopen Question 1,I like to watch a thriller,file:///Users/cathy/Projects/website1/results/voice3/easyVer+movieopen Question 1+A5NE8TWS8ZV7B.mp3,10/18/18 19:27
easyVer,277,A5NE8TWS8ZV7B,genre,comedy,I like to watch I like to watch something funny like scary movie,file:///Users/cathy/Projects/website1/results/voice3/easyVer+comedy+A5NE8TWS8ZV7B.mp3,10/18/18 19:28
easyVer,278,A2C7TMRC2QHTIW,Open question,movieopen Question 1,I want to watch Batman now,file:///Users/cathy/Projects/website1/results/voice3/easyVer+movieopen Question 1+A2C7TMRC2QHTIW.mp3,10/18/18 19:29
easyVer,283,A5NE8TWS8ZV7B,time,2000s,I like to watch a award-winning movie that was created in the 2000s,file:///Users/cathy/Projects/website1/results/voice3/easyVer+2000s+A5NE8TWS8ZV7B.mp3,10/18/18 19:29
easyVer,285,A2C7TMRC2QHTIW,genre,comedy,can you find me a funny movie,file:///Users/cathy/Projects/website1/results/voice3/easyVer+comedy+A2C7TMRC2QHTIW.mp3,10/18/18 19:30
easyVer,287,A5NE8TWS8ZV7B,deep feature 1,robots,is there anything about robots recently like something that's newer I really like iRobot,file:///Users/cathy/Projects/website1/results/voice3/easyVer+robots+A5NE8TWS8ZV7B.mp3,10/18/18 19:30
easyVer,290,A5NE8TWS8ZV7B,deep feature 2,great acting,I like to see something that's really recent kind of maybe want a lot of rewards with some great acting,file:///Users/cathy/Projects/website1/results/voice3/easyVer+great acting+A5NE8TWS8ZV7B.mp3,10/18/18 19:30
easyVer,291,A2C7TMRC2QHTIW,director,Stephen Spielberg,show me a Steven Spielberg movie,file:///Users/cathy/Projects/website1/results/voice3/easyVer+Stephen Spielberg+A2C7TMRC2QHTIW.mp3,10/18/18 19:30
easyVer,295,A5NE8TWS8ZV7B,quality,popular,well what are some popular ones now,file:///Users/cathy/Projects/website1/results/voice3/easyVer+popular+A5NE8TWS8ZV7B.mp3,10/18/18 19:31
easyVer,297,A2C7TMRC2QHTIW,quality,critically acclaimed,can you recommend a critically acclaimed movie,file:///Users/cathy/Projects/website1/results/voice3/easyVer+critically acclaimed+A2C7TMRC2QHTIW.mp3,10/18/18 19:31
easyVer,298,A2C7TMRC2QHTIW,actor,Jennifer Lawrence,can you show me a movie with Jennifer Lawrence,file:///Users/cathy/Projects/website1/results/voice3/easyVer+Jennifer Lawrence+A2C7TMRC2QHTIW.mp3,10/18/18 19:31
easyVer,301,A2C7TMRC2QHTIW,combination,horror  gt2010,can you show me a horror movie after 2010,file:///Users/cathy/Projects/website1/results/voice3/easyVer+horror  gt2010+A2C7TMRC2QHTIW.mp3,10/18/18 19:31
easyVer,303,A2C7TMRC2QHTIW,combination,Japan  animation,can you show me the animated movie from Japan,file:///Users/cathy/Projects/website1/results/voice3/easyVer+Japan  animation+A2C7TMRC2QHTIW.mp3,10/18/18 19:31
easyVer,304,A2C7TMRC2QHTIW,combination,funny  romantic,can you show me a funny romantic movie,file:///Users/cathy/Projects/website1/results/voice3/easyVer+funny  romantic+A2C7TMRC2QHTIW.mp3,10/18/18 19:32
easyVer,306,A2C7TMRC2QHTIW,context,with a group of friends,can you show me a movie that shows a group of friends,file:///Users/cathy/Projects/website1/results/voice3/easyVer+with a group of friends+A2C7TMRC2QHTIW.mp3,10/18/18 19:32
easyVer,311,AAQREZOK13OV7,Open question,movieopen Question 2,I'd like to watch a psychological Thriller that was made in the last 2 years,file:///Users/cathy/Projects/website1/results/voice3/easyVer+movieopen Question 2+AAQREZOK13OV7.mp3,10/18/18 19:33
easyVer,312,AAQREZOK13OV7,Open question,movieopen Question ,please show me a five sci-fi movie that has four or five stars and it's from between 2010 and 2018,file:///Users/cathy/Projects/website1/results/voice3/easyVer+movieopen Question +AAQREZOK13OV7.mp3,10/18/18 19:34
easyVer,314,AAQREZOK13OV7,genre,romance,show me a new rom-com flip that I can watch,file:///Users/cathy/Projects/website1/results/voice3/easyVer+romance+AAQREZOK13OV7.mp3,10/18/18 19:35
easyVer,315,AAQREZOK13OV7,region,Mexico,show me movies that take place somewhere in Mexico,file:///Users/cathy/Projects/website1/results/voice3/easyVer+Mexico+AAQREZOK13OV7.mp3,10/18/18 19:35
easyVer,317,AAQREZOK13OV7,director,Stephen Spielberg,show me the most recent Steven Spielberg movie,file:///Users/cathy/Projects/website1/results/voice3/easyVer+Stephen Spielberg+AAQREZOK13OV7.mp3,10/18/18 19:35
easyVer,322,AAQREZOK13OV7,actor,Jennifer Lawrence,show me a list of available Jennifer Lawrence movies,file:///Users/cathy/Projects/website1/results/voice3/easyVer+Jennifer Lawrence+AAQREZOK13OV7.mp3,10/18/18 19:36
easyVer,323,AAQREZOK13OV7,movie based,like Titanic,what are some movies that are similar to the Titanic,file:///Users/cathy/Projects/website1/results/voice3/easyVer+like Titanic+AAQREZOK13OV7.mp3,10/18/18 19:36
easyVer,327,AAQREZOK13OV7,context,Friday night,show me a good movie to watch on a Friday night with friends,file:///Users/cathy/Projects/website1/results/voice3/easyVer+Friday night+AAQREZOK13OV7.mp3,10/18/18 19:37
easyVer,328,A2C73Y1COWCA51,Open question,movieopen Question 1,stream Toy Story 3,file:///Users/cathy/Projects/website1/results/voice3/easyVer+movieopen Question 1+A2C73Y1COWCA51.mp3,10/18/18 19:56
easyVer,329,A2C73Y1COWCA51,Open question,movieopen Question 2,I want to watch Titanic,file:///Users/cathy/Projects/website1/results/voice3/easyVer+movieopen Question 2+A2C73Y1COWCA51.mp3,10/18/18 19:56
easyVer,330,A2C73Y1COWCA51,Open question,movieopen Question ,where can I find Deadpool 2,file:///Users/cathy/Projects/website1/results/voice3/easyVer+movieopen Question +A2C73Y1COWCA51.mp3,10/18/18 19:56
easyVer,331,A2C73Y1COWCA51,genre,comedy,I want to watch Rush Hour 3,file:///Users/cathy/Projects/website1/results/voice3/easyVer+comedy+A2C73Y1COWCA51.mp3,10/18/18 19:57
easyVer,332,A2C73Y1COWCA51,genre,Disney,I want to watch Toy Story,file:///Users/cathy/Projects/website1/results/voice3/easyVer+Disney+A2C73Y1COWCA51.mp3,10/18/18 19:57
easyVer,333,A2C73Y1COWCA51,region,France,I want to watch a movie work takes place and Friends,file:///Users/cathy/Projects/website1/results/voice3/easyVer+France+A2C73Y1COWCA51.mp3,10/18/18 19:57
easyVer,334,A2C73Y1COWCA51,time,lt2000,I want to watch a movie related to mm,file:///Users/cathy/Projects/website1/results/voice3/easyVer+lt2000+A2C73Y1COWCA51.mp3,10/18/18 19:58
easyVer,335,A2C73Y1COWCA51,director,Stephen Spielberg,I want to watch Jurassic Park,file:///Users/cathy/Projects/website1/results/voice3/easyVer+Stephen Spielberg+A2C73Y1COWCA51.mp3,10/18/18 19:59
easyVer,336,A2C73Y1COWCA51,deep feature 1,robots,I want to watch a movie with robots,file:///Users/cathy/Projects/website1/results/voice3/easyVer+robots+A2C73Y1COWCA51.mp3,10/18/18 19:59
easyVer,337,A2C73Y1COWCA51,deep feature 2,interesting charactors,I want to watch a movie with interesting characters,file:///Users/cathy/Projects/website1/results/voice3/easyVer+interesting charactors+A2C73Y1COWCA51.mp3,10/18/18 19:59
easyVer,338,A2C73Y1COWCA51,name,The Aviator,where can I watch The Aviator,file:///Users/cathy/Projects/website1/results/voice3/easyVer+The Aviator+A2C73Y1COWCA51.mp3,10/18/18 19:59
easyVer,339,A2C73Y1COWCA51,quality,critically acclaimed,I want to watch a critically acclaimed film,file:///Users/cathy/Projects/website1/results/voice3/easyVer+critically acclaimed+A2C73Y1COWCA51.mp3,10/18/18 20:00
easyVer,340,A2C73Y1COWCA51,actor,Brad Pitt,I want to watch a movie starring Brad Pitt,file:///Users/cathy/Projects/website1/results/voice3/easyVer+Brad Pitt+A2C73Y1COWCA51.mp3,10/18/18 20:00
easyVer,341,A2C73Y1COWCA51,movie based,like Titanic,I want to watch a movie similar to Titanic,file:///Users/cathy/Projects/website1/results/voice3/easyVer+like Titanic+A2C73Y1COWCA51.mp3,10/18/18 20:00
easyVer,342,A2C73Y1COWCA51,combination,gt2010  horror,I want to watch a horror movie made in 2010,file:///Users/cathy/Projects/website1/results/voice3/easyVer+gt2010  horror+A2C73Y1COWCA51.mp3,10/18/18 20:00
easyVer,343,A2C73Y1COWCA51,combination,animation  Japan,I want to watch anime,file:///Users/cathy/Projects/website1/results/voice3/easyVer+animation  Japan+A2C73Y1COWCA51.mp3,10/18/18 20:00
easyVer,344,A2C73Y1COWCA51,combination,funny  romantic,I want to watch a funny romantic film,file:///Users/cathy/Projects/website1/results/voice3/easyVer+funny  romantic+A2C73Y1COWCA51.mp3,10/18/18 20:00
easyVer,345,A2C73Y1COWCA51,context,Friday night,I want to watch a movie related to Friday night,file:///Users/cathy/Projects/website1/results/voice3/easyVer+Friday night+A2C73Y1COWCA51.mp3,10/18/18 20:01
easyVer,346,AQ7RNVB2GZKUZ,Open question,movieopen Question 1,what movie should I watch right now what movie should I watch right now,file:///Users/cathy/Projects/website1/results/voice3/easyVer+movieopen Question 1+AQ7RNVB2GZKUZ.mp3,10/18/18 20:02
easyVer,347,AQ7RNVB2GZKUZ,Open question,movieopen Question 2,what's a good movie to watch right now,file:///Users/cathy/Projects/website1/results/voice3/easyVer+movieopen Question 2+AQ7RNVB2GZKUZ.mp3,10/18/18 20:02
easyVer,348,AQ7RNVB2GZKUZ,Open question,movieopen Question ,do you have any ideas what movie I should watch right now,file:///Users/cathy/Projects/website1/results/voice3/easyVer+movieopen Question +AQ7RNVB2GZKUZ.mp3,10/18/18 20:02
easyVer,349,AQ7RNVB2GZKUZ,genre,comedy,what's a funny movie I should watch,file:///Users/cathy/Projects/website1/results/voice3/easyVer+comedy+AQ7RNVB2GZKUZ.mp3,10/18/18 20:03
easyVer,350,AQ7RNVB2GZKUZ,genre,romance,I'd like a romantic movie to watch,file:///Users/cathy/Projects/website1/results/voice3/easyVer+romance+AQ7RNVB2GZKUZ.mp3,10/18/18 20:03
easyVer,352,AQ7RNVB2GZKUZ,time,2000s,I want a movie to watch from the 2000s,file:///Users/cathy/Projects/website1/results/voice3/easyVer+2000s+AQ7RNVB2GZKUZ.mp3,10/18/18 20:03
easyVer,353,AQ7RNVB2GZKUZ,director,George Lucas,find me a movie directed by George Lucas,file:///Users/cathy/Projects/website1/results/voice3/easyVer+George Lucas+AQ7RNVB2GZKUZ.mp3,10/18/18 20:04
easyVer,358,AQ7RNVB2GZKUZ,actor,Jennifer Lawrence,I want a movie starring Jennifer Lawrence,file:///Users/cathy/Projects/website1/results/voice3/easyVer+Jennifer Lawrence+AQ7RNVB2GZKUZ.mp3,10/18/18 20:04
easyVer,359,AQ7RNVB2GZKUZ,movie based,like Titanic,I want to watch a movie that's like Titanic,file:///Users/cathy/Projects/website1/results/voice3/easyVer+like Titanic+AQ7RNVB2GZKUZ.mp3,10/18/18 20:04
easyVer,360,AQ7RNVB2GZKUZ,combination,gt2010  horror,find me a music from 2010,file:///Users/cathy/Projects/website1/results/voice3/easyVer+gt2010  horror+AQ7RNVB2GZKUZ.mp3,10/18/18 20:05
easyVer,361,AQ7RNVB2GZKUZ,combination,Japan  animation,I want to watch a Japanese animation movie,file:///Users/cathy/Projects/website1/results/voice3/easyVer+Japan  animation+AQ7RNVB2GZKUZ.mp3,10/18/18 20:05
easyVer,363,AQ7RNVB2GZKUZ,context,with a group of friends,what's a good movie I can watch with a group of friends,file:///Users/cathy/Projects/website1/results/voice3/easyVer+with a group of friends+AQ7RNVB2GZKUZ.mp3,10/18/18 20:05
easyVer,365,A1VR49TB3Q4BV8,Open question,movieopen Question 2,can you find me a movie to watch,file:///Users/cathy/Projects/website1/results/voice3/easyVer+movieopen Question 2+A1VR49TB3Q4BV8.mp3,10/18/18 20:18
easyVer,367,A1VR49TB3Q4BV8,genre,comedy,I want to watch a funny movie,file:///Users/cathy/Projects/website1/results/voice3/easyVer+comedy+A1VR49TB3Q4BV8.mp3,10/18/18 20:18
easyVer,369,A1VR49TB3Q4BV8,region,France,I want to watch a movie about Prince,file:///Users/cathy/Projects/website1/results/voice3/easyVer+France+A1VR49TB3Q4BV8.mp3,10/18/18 20:19
easyVer,378,A1VR49TB3Q4BV8,combination,horror  gt2010,I want to watch a horror movie in 2010 hour,file:///Users/cathy/Projects/website1/results/voice3/easyVer+horror  gt2010+A1VR49TB3Q4BV8.mp3,10/18/18 20:20
easyVer,382,A7KLTVEIASF4J,Open question,movieopen Question 1,Siri please play this movie now,file:///Users/cathy/Projects/website1/results/voice3/easyVer+movieopen Question 1+A7KLTVEIASF4J.mp3,10/18/18 20:49
easyVer,384,A7KLTVEIASF4J,Open question,movieopen Question ,I would like to watch an action movie,file:///Users/cathy/Projects/website1/results/voice3/easyVer+movieopen Question +A7KLTVEIASF4J.mp3,10/18/18 20:50
easyVer,387,A7KLTVEIASF4J,region,France,can you find any french films for me to watch,file:///Users/cathy/Projects/website1/results/voice3/easyVer+France+A7KLTVEIASF4J.mp3,10/18/18 20:51
easyVer,389,A7KLTVEIASF4J,director,Wes Anderson,I'd like to see a Wes Anderson film,file:///Users/cathy/Projects/website1/results/voice3/easyVer+Wes Anderson+A7KLTVEIASF4J.mp3,10/18/18 20:51
easyVer,390,A7KLTVEIASF4J,deep feature 1,time travel,show me films about time travel,file:///Users/cathy/Projects/website1/results/voice3/easyVer+time travel+A7KLTVEIASF4J.mp3,10/18/18 20:51
easyVer,392,A7KLTVEIASF4J,name,The Hunger Games,I would like to watch The Hunger Games,file:///Users/cathy/Projects/website1/results/voice3/easyVer+The Hunger Games+A7KLTVEIASF4J.mp3,10/18/18 20:51
easyVer,394,A7KLTVEIASF4J,actor,Brad Pitt,find me a movie that has Brad Pitt in it,file:///Users/cathy/Projects/website1/results/voice3/easyVer+Brad Pitt+A7KLTVEIASF4J.mp3,10/18/18 20:52
easyVer,395,A7KLTVEIASF4J,movie based,like Titanic,find me a movie that's kind of like the Titanic,file:///Users/cathy/Projects/website1/results/voice3/easyVer+like Titanic+A7KLTVEIASF4J.mp3,10/18/18 20:52
easyVer,396,A7KLTVEIASF4J,combination,horror  gt2010,find me horror movie that was made after 2010,file:///Users/cathy/Projects/website1/results/voice3/easyVer+horror  gt2010+A7KLTVEIASF4J.mp3,10/18/18 20:52
easyVer,351,AQ7RNVB2GZKUZ,region,China,what's a good movie that was made in China,file:///Users/cathy/Projects/website1/results/voice3/easyVer+China+AQ7RNVB2GZKUZ.mp3,10/18/18 20:03
easyVer,354,AQ7RNVB2GZKUZ,deep feature 1,explosions,find me a movie that features lots of explosions,file:///Users/cathy/Projects/website1/results/voice3/easyVer+explosions+AQ7RNVB2GZKUZ.mp3,10/18/18 20:04
easyVer,355,AQ7RNVB2GZKUZ,deep feature 2,interesting charactors,find me a movie that has interesting characters,file:///Users/cathy/Projects/website1/results/voice3/easyVer+interesting charactors+AQ7RNVB2GZKUZ.mp3,10/18/18 20:04
easyVer,356,AQ7RNVB2GZKUZ,name,When Harry Met Sally...,I want to watch When Harry Met Sally,file:///Users/cathy/Projects/website1/results/voice3/easyVer+When Harry Met Sally...+AQ7RNVB2GZKUZ.mp3,10/18/18 20:04
easyVer,357,AQ7RNVB2GZKUZ,quality,critically acclaimed,find me some movies that are critically acclaimed,file:///Users/cathy/Projects/website1/results/voice3/easyVer+critically acclaimed+AQ7RNVB2GZKUZ.mp3,10/18/18 20:04
easyVer,362,AQ7RNVB2GZKUZ,combination,romantic  funny,I want to watch romantic comedy,file:///Users/cathy/Projects/website1/results/voice3/easyVer+romantic  funny+AQ7RNVB2GZKUZ.mp3,10/18/18 20:05
easyVer,364,A1VR49TB3Q4BV8,Open question,movieopen Question 1,I want to watch action movies,file:///Users/cathy/Projects/website1/results/voice3/easyVer+movieopen Question 1+A1VR49TB3Q4BV8.mp3,10/18/18 20:18
easyVer,366,A1VR49TB3Q4BV8,Open question,movieopen Question ,I would like to watch a movie,file:///Users/cathy/Projects/website1/results/voice3/easyVer+movieopen Question +A1VR49TB3Q4BV8.mp3,10/18/18 20:18
easyVer,368,A1VR49TB3Q4BV8,genre,romance,I want to watch a love movie,file:///Users/cathy/Projects/website1/results/voice3/easyVer+romance+A1VR49TB3Q4BV8.mp3,10/18/18 20:18
easyVer,370,A1VR49TB3Q4BV8,time,2000s,I want to watch a movie in the 2000s,file:///Users/cathy/Projects/website1/results/voice3/easyVer+2000s+A1VR49TB3Q4BV8.mp3,10/18/18 20:19
easyVer,371,A1VR49TB3Q4BV8,director,Wes Anderson,I want to watch a movie about Wes Anderson,file:///Users/cathy/Projects/website1/results/voice3/easyVer+Wes Anderson+A1VR49TB3Q4BV8.mp3,10/18/18 20:19
easyVer,372,A1VR49TB3Q4BV8,deep feature 1,explosions,I want to watch a movie about explosions,file:///Users/cathy/Projects/website1/results/voice3/easyVer+explosions+A1VR49TB3Q4BV8.mp3,10/18/18 20:19
easyVer,373,A1VR49TB3Q4BV8,deep feature 2,exciting plot,I want to watch a movie with shining plot,file:///Users/cathy/Projects/website1/results/voice3/easyVer+exciting plot+A1VR49TB3Q4BV8.mp3,10/18/18 20:19
easyVer,374,A1VR49TB3Q4BV8,name,The Hunger Games,I want to watch The Hunger Games,file:///Users/cathy/Projects/website1/results/voice3/easyVer+The Hunger Games+A1VR49TB3Q4BV8.mp3,10/18/18 20:19
easyVer,375,A1VR49TB3Q4BV8,quality,best,I want to watch the best movie,file:///Users/cathy/Projects/website1/results/voice3/easyVer+best+A1VR49TB3Q4BV8.mp3,10/18/18 20:19
easyVer,376,A1VR49TB3Q4BV8,actor,Jennifer Lawrence,I want to watch a movie on Jennifer Lawrence,file:///Users/cathy/Projects/website1/results/voice3/easyVer+Jennifer Lawrence+A1VR49TB3Q4BV8.mp3,10/18/18 20:19
easyVer,377,A1VR49TB3Q4BV8,movie based,like Titanic,I want to watch a movie like the Titanic,file:///Users/cathy/Projects/website1/results/voice3/easyVer+like Titanic+A1VR49TB3Q4BV8.mp3,10/18/18 20:20
easyVer,379,A1VR49TB3Q4BV8,combination,Japan  animation,I want to watch it japanimation movie,file:///Users/cathy/Projects/website1/results/voice3/easyVer+Japan  animation+A1VR49TB3Q4BV8.mp3,10/18/18 20:20
easyVer,380,A1VR49TB3Q4BV8,combination,funny  romantic,I want to watch a funny romantic movie,file:///Users/cathy/Projects/website1/results/voice3/easyVer+funny  romantic+A1VR49TB3Q4BV8.mp3,10/18/18 20:20
easyVer,381,A1VR49TB3Q4BV8,context,Friday night,I want to watch a fight in a movie,file:///Users/cathy/Projects/website1/results/voice3/easyVer+Friday night+A1VR49TB3Q4BV8.mp3,10/18/18 20:20
easyVer,383,A7KLTVEIASF4J,Open question,movieopen Question 2,see I'd like to watch a movie right now,file:///Users/cathy/Projects/website1/results/voice3/easyVer+movieopen Question 2+A7KLTVEIASF4J.mp3,10/18/18 20:49
easyVer,385,A7KLTVEIASF4J,genre,comedy,find me a funny movie to watch,file:///Users/cathy/Projects/website1/results/voice3/easyVer+comedy+A7KLTVEIASF4J.mp3,10/18/18 20:50
easyVer,386,A7KLTVEIASF4J,genre,romance,I'd like to watch her those some type of Romance movie,file:///Users/cathy/Projects/website1/results/voice3/easyVer+romance+A7KLTVEIASF4J.mp3,10/18/18 20:50
easyVer,388,A7KLTVEIASF4J,time,2010s,find me movies that were made in 2010,file:///Users/cathy/Projects/website1/results/voice3/easyVer+2010s+A7KLTVEIASF4J.mp3,10/18/18 20:51
easyVer,391,A7KLTVEIASF4J,deep feature 2,exciting plot,find me a film an exciting plot,file:///Users/cathy/Projects/website1/results/voice3/easyVer+exciting plot+A7KLTVEIASF4J.mp3,10/18/18 20:51
easyVer,393,A7KLTVEIASF4J,quality,best,find me some of the best movies out there,file:///Users/cathy/Projects/website1/results/voice3/easyVer+best+A7KLTVEIASF4J.mp3,10/18/18 20:52
easyVer,397,A7KLTVEIASF4J,combination,Japan  animation,find me a Japanese animation movie,file:///Users/cathy/Projects/website1/results/voice3/easyVer+Japan  animation+A7KLTVEIASF4J.mp3,10/18/18 20:52
easyVer,398,A7KLTVEIASF4J,combination,funny  romantic,can you find me a romantic movie that's kind of funny,file:///Users/cathy/Projects/website1/results/voice3/easyVer+funny  romantic+A7KLTVEIASF4J.mp3,10/18/18 20:52
easyVer,399,A7KLTVEIASF4J,context,Friday night,I want to find a movie for Friday night,file:///Users/cathy/Projects/website1/results/voice3/easyVer+Friday night+A7KLTVEIASF4J.mp3,10/18/18 20:52
easyVer,400,A1A1A9UHNQCI9Y,Open question,movieopen Question 1,I want to find a comedy that was released in 2017,file:///Users/cathy/Projects/website1/results/voice3/easyVer+movieopen Question 1+A1A1A9UHNQCI9Y.mp3,10/18/18 21:22
